"Vulnerabilities","06/29/2025 at 00:03:11 (GMT+0530)","30"
"Persistent",,,,,,"India"
"Ankita Jamdade","perss8aa3","Manager"
"QID","CVE ID","Title","Sub Category","Severity","Category","Vendor Reference","CVSS Base","CVSS3.1 Base","Bugtraq ID","Modified","Published"
"382919","CVE-2025-1920,CVE-2025-2135,CVE-2025-2136,CVE-2025-2137,CVE-2025-24201","Google Chrome Prior to 134.0.6998.88 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available, Exploit Available","Vulnerability - level 4","Local","Google Chrome 134.0.6998.88","5.4","8.8",,"06/19/2025 at 17:30:01 (GMT+0530)","03/12/2025 at 19:11:14 (GMT+0530)"
"382902","CVE-2025-1914,CVE-2025-1915,CVE-2025-1916,CVE-2025-1917,CVE-2025-1918,CVE-2025-1919,CVE-2025-1921,CVE-2025-1922,CVE-2025-1923","Google Chrome Prior to 134.0.6998.35 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 134.0.6998.35","5.4","8.8",,"03/06/2025 at 10:30:01 (GMT+0530)","03/05/2025 at 19:30:52 (GMT+0530)"
"382878",,"Google Chrome Prior to 133.0.6943.141 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 2","Local","Google Chrome 133.0.6943.141","5.4","6.3",,"02/26/2025 at 23:38:27 (GMT+0530)","02/26/2025 at 17:53:26 (GMT+0530)"
"382846","CVE-2025-0999,CVE-2025-1426,CVE-2025-1006","Google Chrome Prior to 133.0.6943.126 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 133.0.6943.126","5.4","8.8",,"02/20/2025 at 10:30:01 (GMT+0530)","02/19/2025 at 18:13:37 (GMT+0530)"
"382643",,"Malicious Google Chrome Extensions Detected","Windows Authenticated Discovery, Patch Available","Vulnerability - level 5","Local",,"6.2","6.6",,"01/06/2025 at 23:41:08 (GMT+0530)","01/06/2025 at 18:33:00 (GMT+0530)"
"382766","CVE-2025-0444,CVE-2025-0445,CVE-2025-0451","Google Chrome Prior to 133.0.6943.53 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 133.0.6943.53","5.4","6.3",,"02/08/2025 at 10:30:01 (GMT+0530)","02/05/2025 at 18:01:04 (GMT+0530)"
"382749","CVE-2025-0762","Google Chrome Prior to 132.0.6834.159 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 132.0.6834.159","5.4","8.8",,"01/30/2025 at 10:30:01 (GMT+0530)","01/29/2025 at 20:22:51 (GMT+0530)"
"382708","CVE-2025-0611,CVE-2025-0612","Google Chrome Prior to 132.0.6834.110 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 132.0.6834.110","5.4","8.2",,"02/08/2025 at 10:30:01 (GMT+0530)","01/23/2025 at 18:25:21 (GMT+0530)"
"382672","CVE-2025-0434,CVE-2025-0435,CVE-2025-0436,CVE-2025-0437,CVE-2025-0438,CVE-2025-0439,CVE-2025-0440,CVE-2025-0441,CVE-2025-0442,CVE-2025-0443,CVE-2025-0446,CVE-2025-0447,CVE-2025-0448","Google Chrome Prior to 132.0.6834.83 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available, Exploit Available","Vulnerability - level 4","Local","Google Chrome 132.0.6834.83","5.4","8.8",,"04/22/2025 at 23:31:39 (GMT+0530)","01/15/2025 at 19:13:54 (GMT+0530)"
"382644","CVE-2025-0291","Google Chrome Prior to 131.0.6778.264 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 131.0.6778.264","5.4","8.8",,"02/12/2025 at 15:40:44 (GMT+0530)","01/08/2025 at 18:24:15 (GMT+0530)"
"382829","CVE-2025-0995,CVE-2025-0996,CVE-2025-0997","Google Chrome Prior to 133.0.6943.98 Multiple Vulnerabilities","Multiple Authentication Types Discovery, Patch Available","Vulnerability - level 4","Local","Google Chrome 133.0.6943.98","5.4","8.8",,"05/05/2025 at 15:46:07 (GMT+0530)","02/13/2025 at 18:50:57 (GMT+0530)"
"5004195","CVE-2025-48883","PHP (Composer) Security Update for chrome-php/chrome (GHSA-3432-fmrf-7vmh)","Unix Authenticated Discovery, Patch Available","Vulnerability - level 3","SCA","GHSA-3432-fmrf-7vmh","5.4","8.6",,"06/27/2025 at 23:30:40 (GMT+0530)","05/29/2025 at 16:32:48 (GMT+0530)"
